name ts   x y z   roll pitch yaw  err delay
anonymous:0 1603183169 981604000   -0.0952645 0.23162 1.11261
anonymous:0 1603183169 991206000   -0.124951 0.231987 1.11542
anonymous:0 1603183170 1526000   -0.156363 0.233441 1.11929
anonymous:0 1603183170 11947000   -0.18891 0.235215 1.12498
anonymous:0 1603183170 21253000   -0.222501 0.239959 1.13161
anonymous:0 1603183170 31573000   -0.256078 0.246444 1.13938
anonymous:0 1603183170 41495000   -0.289292 0.25479 1.14806
anonymous:0 1603183170 51796000   -0.322055 0.264857 1.15803
anonymous:0 1603183170 61671000   -0.353708 0.276903 1.16879
anonymous:0 1603183170 71457000   -0.383149 0.289662 1.18069
anonymous:0 1603183170 82169000   -0.412248 0.305759 1.19292
anonymous:0 1603183170 91930000   -0.438886 0.322007 1.20575
anonymous:0 1603183170 101079000   -0.463814 0.339959 1.21893
anonymous:0 1603183170 110914000   -0.486887 0.359252 1.23207
anonymous:0 1603183170 120395000   -0.507818 0.379973 1.24513
anonymous:0 1603183170 130112000   -0.525987 0.400844 1.25817
anonymous:0 1603183170 139478000   -0.541427 0.421961 1.27095
anonymous:0 1603183170 150819000   -0.554441 0.443239 1.28311
anonymous:0 1603183170 161333000   -0.56461 0.463851 1.29484
anonymous:0 1603183170 171345000   -0.572488 0.483807 1.30587
anonymous:0 1603183170 181570000   -0.566625 0.506142 1.31777
anonymous:0 1603183170 191175000   -0.570449 0.524072 1.32687
anonymous:0 1603183170 201591000   -0.572539 0.540545 1.33508
anonymous:0 1603183170 212191000   -0.574044 0.555451 1.34238
anonymous:0 1603183170 221821000   -0.57462 0.568593 1.34887
anonymous:0 1603183170 231822000   -0.574777 0.580024 1.35461
anonymous:0 1603183170 241887000   -0.574324 0.58998 1.35942
anonymous:0 1603183170 251962000   -0.573881 0.598366 1.3636
anonymous:0 1603183170 261855000   -0.573944 0.605457 1.3669
anonymous:0 1603183170 271650000   -0.573538 0.611213 1.36953
anonymous:0 1603183170 281860000   -0.573957 0.615873 1.37142
anonymous:0 1603183170 291802000   -0.574425 0.619372 1.37233
anonymous:0 1603183170 301341000   -0.575288 0.622043 1.37241
anonymous:0 1603183170 311325000   -0.576887 0.623892 1.3717
anonymous:0 1603183170 321153000   -0.578458 0.624945 1.37026
anonymous:0 1603183170 331327000   -0.581136 0.625056 1.36841
anonymous:0 1603183170 341134000   -0.584352 0.62431 1.3661
anonymous:0 1603183170 351341000   -0.587843 0.622489 1.3636
anonymous:0 1603183170 361510000   -0.592462 0.619739 1.36034
anonymous:0 1603183170 371580000   -0.597159 0.615874 1.35688
anonymous:0 1603183170 381662000   -0.602454 0.610873 1.35309
anonymous:0 1603183170 391432000   -0.608401 0.604615 1.34912
anonymous:0 1603183170 401849000   -0.614324 0.596949 1.34506
anonymous:0 1603183170 412030000   -0.620712 0.587965 1.34085
anonymous:0 1603183170 421868000   -0.627581 0.577854 1.33633
anonymous:0 1603183170 431957000   -0.634959 0.566162 1.33187
anonymous:0 1603183170 441633000   -0.642755 0.553161 1.32749
anonymous:0 1603183170 451879000   -0.650996 0.538673 1.3233
anonymous:0 1603183170 461873000   -0.659842 0.522797 1.31943
anonymous:0 1603183170 471273000   -0.668972 0.505708 1.31572
anonymous:0 1603183170 481876000   -0.678546 0.487124 1.3125
anonymous:0 1603183170 491371000   -0.688253 0.467024 1.30972
anonymous:0 1603183170 501664000   -0.697902 0.445538 1.30729
anonymous:0 1603183170 511984000   -0.706919 0.422464 1.30547
anonymous:0 1603183170 521528000   -0.715649 0.39815 1.3042
anonymous:0 1603183170 531894000   -0.723878 0.37244 1.30361
anonymous:0 1603183170 541833000   -0.732059 0.345781 1.30417
anonymous:0 1603183170 551890000   -0.743754 0.318941 1.30783
anonymous:0 1603183170 651881000   -0.756167 0.00795688 1.36658
anonymous:0 1603183170 662356000   -0.748477 -0.0210742 1.37899
anonymous:0 1603183170 671892000   -0.739521 -0.0488292 1.39245
anonymous:0 1603183170 681736000   -0.729607 -0.0753836 1.40697
anonymous:0 1603183170 691588000   -0.718663 -0.100013 1.42255
anonymous:0 1603183170 701833000   -0.70714 -0.123168 1.43885
anonymous:0 1603183170 712585000   -0.695471 -0.143979 1.45626
anonymous:0 1603183170 721619000   -0.683623 -0.162719 1.47414
anonymous:0 1603183170 731657000   -0.672029 -0.179503 1.4922
anonymous:0 1603183170 741451000   -0.6607 -0.193946 1.51066
anonymous:0 1603183170 751782000   -0.649702 -0.206837 1.52862
anonymous:0 1603183170 761457000   -0.639004 -0.217881 1.5466
anonymous:0 1603183170 781844000   -0.607138 -0.232923 1.583
anonymous:0 1603183170 791930000   -0.597053 -0.240451 1.59899
anonymous:0 1603183170 802017000   -0.587076 -0.24739 1.61376
anonymous:0 1603183170 812157000   -0.577028 -0.253792 1.62751
anonymous:0 1603183170 821846000   -0.567479 -0.259979 1.64013
anonymous:0 1603183170 831705000   -0.558107 -0.265848 1.65135
anonymous:0 1603183170 841197000   -0.549373 -0.271765 1.66117
anonymous:0 1603183170 851711000   -0.541164 -0.277819 1.66944
anonymous:0 1603183170 861899000   -0.533533 -0.284152 1.67633
anonymous:0 1603183170 871566000   -0.526253 -0.291068 1.68159
anonymous:0 1603183170 881668000   -0.519481 -0.2985 1.68514
anonymous:0 1603183170 891618000   -0.513036 -0.306539 1.68694
anonymous:0 1603183170 901817000   -0.506548 -0.315391 1.68716
anonymous:0 1603183170 911670000   -0.500421 -0.324709 1.6858
anonymous:0 1603183170 921666000   -0.49411 -0.334656 1.68232
anonymous:0 1603183170 931833000   -0.48782 -0.345353 1.67733
anonymous:0 1603183170 941778000   -0.48137 -0.356447 1.67101
anonymous:0 1603183170 951766000   -0.474952 -0.368065 1.6627
anonymous:0 1603183170 961566000   -0.468722 -0.38014 1.65328
anonymous:0 1603183170 971701000   -0.462156 -0.392606 1.64182
anonymous:0 1603183170 981800000   -0.455375 -0.405088 1.62907
anonymous:0 1603183170 991596000   -0.461366 -0.4224 1.61169
anonymous:0 1603183171 1739000   -0.442086 -0.429502 1.59793
anonymous:0 1603183171 12356000   -0.435459 -0.441431 1.58037
anonymous:0 1603183171 21763000   -0.42925 -0.452766 1.56092
anonymous:0 1603183171 31778000   -0.422928 -0.463553 1.54027
anonymous:0 1603183171 41774000   -0.416887 -0.473943 1.51839
anonymous:0 1603183171 51727000   -0.411141 -0.483303 1.49523
anonymous:0 1603183171 61962000   -0.405736 -0.491657 1.47107
anonymous:0 1603183171 71885000   -0.400622 -0.499101 1.44632
anonymous:0 1603183171 91823000   -0.403419 -0.513654 1.39203
anonymous:0 1603183171 102095000   -0.39942 -0.516654 1.36466
anonymous:0 1603183171 112219000   -0.396861 -0.518615 1.33825
anonymous:0 1603183171 121651000   -0.395403 -0.519014 1.31218
anonymous:0 1603183171 131915000   -0.395609 -0.517637 1.28654
anonymous:0 1603183171 140932000   -0.397443 -0.514348 1.26183
anonymous:0 1603183171 150956000   -0.401062 -0.509396 1.2384
anonymous:0 1603183171 160584000   -0.406799 -0.503775 1.21625
anonymous:0 1603183171 169909000   -0.414561 -0.49733 1.19565
anonymous:0 1603183171 180548000   -0.424266 -0.489876 1.17669
anonymous:0 1603183171 190627000   -0.435954 -0.481318 1.15986
anonymous:0 1603183171 200891000   -0.449526 -0.471973 1.14517
anonymous:0 1603183171 211548000   -0.46465 -0.461052 1.13262
anonymous:0 1603183171 221345000   -0.481515 -0.45005 1.12299
anonymous:0 1603183171 231139000   -0.499693 -0.438267 1.11586
anonymous:0 1603183171 241527000   -0.519016 -0.425435 1.1116
anonymous:0 1603183171 251529000   -0.539068 -0.411887 1.10989
anonymous:0 1603183171 261771000   -0.559869 -0.397832 1.11099
anonymous:0 1603183171 281912000   -0.601959 -0.368609 1.12084
anonymous:0 1603183171 311900000   -0.662026 -0.324004 1.15527
anonymous:0 1603183171 372124000   -0.747632 -0.252909 1.28053
anonymous:0 1603183171 391992000   -0.763541 -0.237188 1.33207
anonymous:0 1603183171 401787000   -0.769281 -0.23082 1.35838
anonymous:0 1603183171 411872000   -0.773485 -0.225429 1.38509
anonymous:0 1603183171 422017000   -0.77616 -0.221129 1.41167
anonymous:0 1603183171 431849000   -0.777473 -0.217631 1.43795
anonymous:0 1603183171 441907000   -0.777378 -0.214891 1.464
anonymous:0 1603183171 452269000   -0.776178 -0.212723 1.48915
anonymous:0 1603183171 461814000   -0.77339 -0.211061 1.51318
anonymous:0 1603183171 471785000   -0.76953 -0.210118 1.53598
anonymous:0 1603183171 482043000   -0.764768 -0.209583 1.55717
anonymous:0 1603183171 492335000   -0.747984 -0.206651 1.5787
anonymous:0 1603183171 501981000   -0.742052 -0.207418 1.59605
anonymous:0 1603183171 512199000   -0.736063 -0.209012 1.61095
anonymous:0 1603183171 521720000   -0.730323 -0.211304 1.62338
anonymous:0 1603183171 551819000   -0.719076 -0.221696 1.64662
anonymous:0 1603183171 561655000   -0.717713 -0.226224 1.65014
anonymous:0 1603183171 571790000   -0.717597 -0.231453 1.65151
anonymous:0 1603183171 581850000   -0.718787 -0.237542 1.65088
anonymous:0 1603183171 591748000   -0.720687 -0.244463 1.64796
anonymous:0 1603183171 601883000   -0.723625 -0.251947 1.64264
anonymous:0 1603183171 611660000   -0.727325 -0.259991 1.63478
anonymous:0 1603183171 621608000   -0.731323 -0.268613 1.62459
