name ts   x y z   roll pitch yaw  err delay
anonymous:0 1603182860 817119000   -0.263251 1.51451 0.89194
anonymous:0 1603182860 827120000   -0.262874 1.51433 0.891873
anonymous:0 1603182860 837184000   -0.263011 1.51448 0.891858
anonymous:0 1603182860 847292000   -0.262842 1.51444 0.891809
anonymous:0 1603182860 857442000   -0.262786 1.51449 0.891759
anonymous:0 1603182860 867348000   -0.262853 1.51465 0.891733
anonymous:0 1603182860 877598000   -0.262502 1.51445 0.891438
anonymous:0 1603182860 887694000   -0.262796 1.51474 0.891559
anonymous:0 1603182860 897498000   -0.262508 1.51452 0.891449
anonymous:0 1603182860 907719000   -0.262347 1.5146 0.891479
anonymous:0 1603182860 917292000   -0.262513 1.51466 0.891348
anonymous:0 1603182860 927244000   -0.262474 1.51482 0.891677
anonymous:0 1603182860 937314000   -0.262375 1.51466 0.891216
anonymous:0 1603182860 946875000   -0.262467 1.51482 0.891584
anonymous:0 1603182860 957519000   -0.262358 1.51478 0.891502
anonymous:0 1603182860 967229000   -0.262189 1.51469 0.891459
anonymous:0 1603182860 977262000   -0.262429 1.51486 0.891502
anonymous:0 1603182860 987309000   -0.26232 1.51482 0.891532
anonymous:0 1603182860 997564000   -0.26221 1.51486 0.891388
anonymous:0 1603182861 7776000   -0.262131 1.51481 0.891407
anonymous:0 1603182861 17517000   -0.262254 1.51484 0.891194
anonymous:0 1603182861 27461000   -0.26206 1.51491 0.891563
anonymous:0 1603182861 37456000   -0.262505 1.51519 0.89151
anonymous:0 1603182861 47762000   -0.262425 1.51514 0.891393
anonymous:0 1603182861 57419000   -0.262522 1.51531 0.89134
anonymous:0 1603182861 66991000   -0.262374 1.51526 0.891233
anonymous:0 1603182861 76883000   -0.262521 1.51536 0.891074
anonymous:0 1603182861 87256000   -0.262349 1.51532 0.891078
anonymous:0 1603182861 97269000   -0.262301 1.51536 0.891178
anonymous:0 1603182861 107269000   -0.262584 1.51546 0.890998
anonymous:0 1603182861 117001000   -0.262616 1.51558 0.890976
anonymous:0 1603182861 127404000   -0.262794 1.51558 0.890593
anonymous:0 1603182861 137037000   -0.262637 1.51549 0.890357
