name ts   x y z   roll pitch yaw  err delay
anonymous:0 1603183009 539245000   -0.0827298 1.39817 0.87862
anonymous:0 1603183009 549425000   -0.0838254 1.39872 0.878451
anonymous:0 1603183009 559359000   -0.0843295 1.39888 0.878063
anonymous:0 1603183009 569361000   -0.08507 1.39911 0.877313
anonymous:0 1603183009 579646000   -0.08528 1.39917 0.876868
anonymous:0 1603183009 589220000   -0.0851662 1.39915 0.876634
anonymous:0 1603183009 599455000   -0.0850569 1.39923 0.876443
anonymous:0 1603183009 609354000   -0.0844476 1.39918 0.876696
anonymous:0 1603183009 619227000   -0.0829026 1.39851 0.876621
anonymous:0 1603183009 629453000   -0.0814406 1.39808 0.876339
anonymous:0 1603183009 639398000   -0.0805436 1.39805 0.876331
anonymous:0 1603183009 649238000   -0.0792706 1.39819 0.875946
anonymous:0 1603183009 659327000   -0.0781076 1.39848 0.875401
anonymous:0 1603183009 668865000   -0.077363 1.39883 0.875146
anonymous:0 1603183009 679637000   -0.0756798 1.39914 0.874523
anonymous:0 1603183009 689259000   -0.074791 1.40001 0.873766
anonymous:0 1603183009 699124000   -0.0742962 1.40063 0.873151
anonymous:0 1603183009 709015000   -0.0741154 1.40158 0.87267
anonymous:0 1603183009 719338000   -0.0739845 1.40295 0.872218
anonymous:0 1603183009 729581000   -0.0747257 1.4037 0.871696
anonymous:0 1603183009 739250000   -0.0755577 1.40466 0.8713
anonymous:0 1603183009 749465000   -0.0754348 1.40556 0.871039
anonymous:0 1603183009 759533000   -0.0762554 1.40651 0.870492
anonymous:0 1603183009 769709000   -0.0770742 1.40776 0.869873
anonymous:0 1603183009 780119000   -0.0779663 1.40888 0.868991
anonymous:0 1603183009 789600000   -0.0785697 1.41 0.868674
anonymous:0 1603183009 799605000   -0.0800477 1.41138 0.86849
anonymous:0 1603183009 809590000   -0.0811347 1.41256 0.868405
anonymous:0 1603183009 819687000   -0.0823343 1.41365 0.867765
anonymous:0 1603183009 829554000   -0.0833569 1.41457 0.867545
anonymous:0 1603183009 839370000   -0.0843647 1.41531 0.867472
anonymous:0 1603183009 849259000   -0.0860806 1.41621 0.86692
anonymous:0 1603183009 859458000   -0.0867295 1.41651 0.86703
anonymous:0 1603183009 869676000   -0.0877285 1.41696 0.867142
anonymous:0 1603183009 879714000   -0.0882877 1.4171 0.867268
anonymous:0 1603183009 889564000   -0.0889199 1.41726 0.86736
anonymous:0 1603183009 899453000   -0.0893438 1.41734 0.86743
anonymous:0 1603183009 909615000   -0.0892056 1.41693 0.867822
anonymous:0 1603183009 919382000   -0.0895852 1.41688 0.868137
anonymous:0 1603183009 929600000   -0.0895864 1.41663 0.868427
anonymous:0 1603183009 939394000   -0.0820998 1.41504 0.872185
anonymous:0 1603183009 949497000   -0.0891959 1.41612 0.868744
anonymous:0 1603183009 959724000   -0.0890015 1.41558 0.869319
anonymous:0 1603183009 969317000   -0.0819892 1.41367 0.873044
anonymous:0 1603183009 979974000   -0.0890947 1.41449 0.869902
anonymous:0 1603183009 989596000   -0.0888653 1.4138 0.870349
anonymous:0 1603183009 999653000   -0.0890141 1.41311 0.870612
anonymous:0 1603183010 9681000   -0.0891617 1.41249 0.870968
anonymous:0 1603183010 19539000   -0.0891185 1.41156 0.871211
anonymous:0 1603183010 29871000   -0.0888996 1.41063 0.871739
anonymous:0 1603183010 39479000   -0.0889054 1.40974 0.872061
anonymous:0 1603183010 49414000   -0.0891463 1.40889 0.872556
anonymous:0 1603183010 59419000   -0.08932 1.4079 0.872945
anonymous:0 1603183010 69335000   -0.0897131 1.40703 0.873229
anonymous:0 1603183010 79702000   -0.0898905 1.40602 0.873515
anonymous:0 1603183010 89075000   -0.0900408 1.40507 0.873694
anonymous:0 1603183010 99305000   -0.0903779 1.40432 0.874179
anonymous:0 1603183010 109652000   -0.0906859 1.40338 0.874053
anonymous:0 1603183010 119582000   -0.0908735 1.40249 0.874248
anonymous:0 1603183010 129245000   -0.0912258 1.40175 0.874309
anonymous:0 1603183010 138804000   -0.0913517 1.40089 0.87463
anonymous:0 1603183010 149461000   -0.0916053 1.40013 0.874565
anonymous:0 1603183010 159023000   -0.0916506 1.39924 0.874777
anonymous:0 1603183010 169100000   -0.0915433 1.3984 0.875047
anonymous:0 1603183010 178689000   -0.0917783 1.39772 0.874974
anonymous:0 1603183010 188593000   -0.0917814 1.39703 0.875223
anonymous:0 1603183010 199354000   -0.0917652 1.39635 0.875103
anonymous:0 1603183010 209080000   -0.0917769 1.39579 0.87536
anonymous:0 1603183010 219478000   -0.091841 1.3953 0.875519
anonymous:0 1603183010 229439000   -0.0917546 1.39474 0.87554
anonymous:0 1603183010 239553000   -0.0918936 1.39432 0.875288
anonymous:0 1603183010 249465000   -0.0915601 1.39381 0.875483
anonymous:0 1603183010 259358000   -0.0914036 1.39344 0.875628
anonymous:0 1603183010 269650000   -0.0910723 1.39304 0.87583
anonymous:0 1603183010 279448000   -0.0910518 1.39279 0.87577
anonymous:0 1603183010 288967000   -0.090848 1.39247 0.875777
anonymous:0 1603183010 299053000   -0.0907219 1.39211 0.875724
anonymous:0 1603183010 309016000   -0.0903061 1.39168 0.875821
anonymous:0 1603183010 319153000   -0.0902219 1.39149 0.875742
anonymous:0 1603183010 328900000   -0.0898262 1.39111 0.875563
anonymous:0 1603183010 338575000   -0.0896485 1.39084 0.87569
anonymous:0 1603183010 348977000   -0.0891885 1.39036 0.875682
anonymous:0 1603183010 359167000   -0.0885861 1.38978 0.875564
