name ts   x y z   roll pitch yaw  err delay
anonymous:0 1603183098 850235000   -0.448491 1.1177 1.01807
anonymous:0 1603183098 870537000   -0.457911 1.10635 1.03744
anonymous:0 1603183098 880643000   -0.462326 1.10094 1.04727
anonymous:0 1603183098 890395000   -0.466526 1.09561 1.05748
anonymous:0 1603183098 900820000   -0.470772 1.09052 1.06755
anonymous:0 1603183098 910494000   -0.474759 1.08546 1.07811
anonymous:0 1603183098 920873000   -0.478586 1.08075 1.08876
anonymous:0 1603183098 930884000   -0.482173 1.07578 1.09964
anonymous:0 1603183098 940835000   -0.485603 1.07148 1.11043
anonymous:0 1603183098 950658000   -0.488689 1.06716 1.1213
anonymous:0 1603183098 960504000   -0.491569 1.06303 1.13212
anonymous:0 1603183098 970931000   -0.494113 1.05894 1.14302
anonymous:0 1603183098 980594000   -0.496442 1.0551 1.15426
anonymous:0 1603183098 990993000   -0.499471 1.05133 1.16504
anonymous:0 1603183099 674000   -0.500703 1.04803 1.17638
anonymous:0 1603183099 11053000   -0.503708 1.0451 1.18735
anonymous:0 1603183099 20977000   -0.505466 1.04234 1.19849
anonymous:0 1603183099 29790000   -0.507904 1.03966 1.20936
anonymous:0 1603183099 40039000   -0.509773 1.03768 1.22025
anonymous:0 1603183099 50222000   -0.511099 1.03511 1.23091
anonymous:0 1603183099 60469000   -0.512095 1.03273 1.24132
anonymous:0 1603183099 70331000   -0.512792 1.03041 1.25209
anonymous:0 1603183099 80660000   -0.514737 1.02895 1.26169
anonymous:0 1603183099 90809000   -0.515381 1.02693 1.27192
anonymous:0 1603183099 100722000   -0.516424 1.02515 1.28122
anonymous:0 1603183099 110743000   -0.515642 1.02354 1.29121
anonymous:0 1603183099 120708000   -0.516328 1.02214 1.3001
anonymous:0 1603183099 130865000   -0.506783 1.02134 1.31
anonymous:0 1603183099 140616000   -0.506027 1.01986 1.3185
anonymous:0 1603183099 150667000   -0.505363 1.01859 1.3266
anonymous:0 1603183099 160682000   -0.50465 1.01723 1.33471
anonymous:0 1603183099 171047000   -0.503947 1.01602 1.34245
anonymous:0 1603183099 180765000   -0.502957 1.01494 1.34986
anonymous:0 1603183099 190363000   -0.501868 1.01377 1.35701
anonymous:0 1603183099 200537000   -0.500714 1.01275 1.36395
anonymous:0 1603183099 210979000   -0.499494 1.01196 1.3705
anonymous:0 1603183099 220981000   -0.498174 1.01106 1.37663
anonymous:0 1603183099 230719000   -0.496612 1.01038 1.38255
anonymous:0 1603183099 240955000   -0.495149 1.00988 1.38812
anonymous:0 1603183099 250967000   -0.493694 1.00927 1.3935
anonymous:0 1603183099 260514000   -0.492068 1.00854 1.39855
anonymous:0 1603183099 270565000   -0.490531 1.00808 1.40332
anonymous:0 1603183099 280809000   -0.48924 1.00751 1.40782
anonymous:0 1603183099 290450000   -0.487513 1.00717 1.41207
anonymous:0 1603183099 300170000   -0.485927 1.0065 1.41623
anonymous:0 1603183099 309871000   -0.484644 1.00573 1.42004
anonymous:0 1603183099 319267000   -0.483178 1.00494 1.42372
anonymous:0 1603183099 329231000   -0.481335 1.00397 1.42743
anonymous:0 1603183099 338882000   -0.479794 1.00301 1.43078
anonymous:0 1603183099 349561000   -0.477944 1.00197 1.43413
anonymous:0 1603183099 359524000   -0.476107 1.00095 1.43709
anonymous:0 1603183099 370196000   -0.474546 0.999622 1.44003
anonymous:0 1603183099 380187000   -0.472412 0.998431 1.44262
anonymous:0 1603183099 390127000   -0.470837 0.997261 1.4452
anonymous:0 1603183099 400386000   -0.468696 0.996295 1.44758
anonymous:0 1603183099 410375000   -0.466977 0.99512 1.44979
anonymous:0 1603183099 420690000   -0.465295 0.993915 1.45191
anonymous:0 1603183099 430600000   -0.463148 0.992834 1.4537
anonymous:0 1603183099 440615000   -0.461457 0.991547 1.45539
anonymous:0 1603183099 450670000   -0.458938 0.990405 1.45709
anonymous:0 1603183099 460770000   -0.456856 0.989116 1.45856
anonymous:0 1603183099 470679000   -0.454164 0.987572 1.45966
anonymous:0 1603183099 480784000   -0.451624 0.986269 1.4606
anonymous:0 1603183099 490434000   -0.448764 0.984575 1.46139
anonymous:0 1603183099 500547000   -0.445629 0.982839 1.46213
